number_of_rows	30573024																																																																																																			
number_of_tags	40574																																																																																																			
avg_tag_use	253.07																																																																																																			
number_of_selected_tags	4779																																																																																																			
																																																																																																				
number_of_tags	1	2	3	4	5																																																																																															
number_of_questions	492518	951594	1023028	685565	420319																																																																																															
																																																																																																				
tags_with_count	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	8207	92	93	94	95	96	97	98	99	100
count	3134	2281	2193	1916	1621	1424	1257	1130	906	952	805	720	716	677	595	531	512	487	445	412	412	369	357	319	321	286	305	310	245	257	261	225	224	223	197	185	186	202	189	171	177	159	143	126	140	143	134	138	126	120	145	133	126	111	117	120	89	93	116	109	105	93	74	90	80	75	85	80	68	70	69	77	70	68	54	97	75	56	66	57	55	65	54	55	63	56	55	57	68	50	1	49	47	66	60	46	56	56	56	55
